# 元婴锚点与金丹位格矩阵

✅ 已审核（2026-08-05 用户确认；Codex 同步具体位置与效果矩阵分层）

> 本文是十七道路变量边界与五十一个 `effect_id` 的唯一效果事实源，不负责生产或登记具体位置。表中中文名称均为功能性临时代号；`DS-JINDAN-NAMES-20260718-01` 完成并经 Codex 审查、用户确认前，不得把临时代号当作正式显示名。金丹结构与生命周期见 `元婴锚点与金丹位格设定.txt`，具体位置的内容生产与登记分别见 `金丹位格/金丹位格设计规范.txt`、`金丹位格/金丹位格索引.txt`，装配、兼容和冲突见 `金丹基础效果装配与冲突规则.txt`，自辟元婴方向见 `自辟元婴方向设定.txt`。

## 一、矩阵口径与字段

1. 每条道路当前固定三项基础效果；每项效果均有源版、化版、界版、实际战棋玩法包装与山河落点，共五十一个唯一 `effect_id`、一百五十三个位别版本。
2. 当前世界另有五十一个初始具体位置，由十七条道路各一个源位、一个化位和一个界位组成。位置数量与效果数量只是当前恰好相同；新增化位或界位不自动新增 `effect_id`，新增效果也不自动产生具体位置。
3. 每个具体位置从所属道路效果库声明显式白名单。当前初始五十一个位置均开放所属道路现有三项效果；后续新增化位或界位可以只开放其中一部分。每个真实位格同一时间只装配白名单中的一项。
4. 位格类型决定使用源版、化版或界版，效果不永久绑定到某种位格。实际权限还必须与具体位置的理念边界求交；白名单或位置理念都不能扩大基础效果已有权限。
5. 源版负责具体对象与具体操作；化版负责局部条件筛选和固定传播／转化；界版负责广域粗阵营和固定弱规则。后两者不得扩大源版对象或操作权限。
6. 同一效果跨位格可以纵向嵌套，不同效果默认独立，只有命中显式 `comboProfileId` 才能组合。组合产物不是新位置，也不产生新的占据或效果槽。
7. 显示数据分别表达道路、具体位置、位格类型和基础效果。效果名称字段只能跟随 `effect_id`，不得写入具体位置名称、道路名称或强制拼接标题。
8. “山河落点”只提供长期用途索引，不等同于完整主场景玩法。每个具体位置的主场景入口、操作、成本、维护、产出、对抗、失败与战棋反馈必须在独立位置文档中定义。
9. 本表不锁定倍率、目标数、持续、CT、灵力、资源或概率；任何调参数值进入配置与 BattleSim，不得据本表宣称平衡。

## 二、道路变量与不可越界项

| 根系 | 道路 | `road_id` | 道路根本权限 | 不可越界项 |
|---|---|---|---|---|
| 五行 | 木道路 | `ROAD_WOOD` | 木行的植木显化、五行关系与生发演化 | 战斗显化物不进入战利品或战后存档；不复活根基断绝者；不自由拼装无限进化树 |
| 五行 | 火道路 | `ROAD_FIRE` | 火行的火热显化、五行关系与升烈蔓延 | 不无燃料永久供能；不定义因果触发；不替阳道清除减益 |
| 五行 | 土道路 | `ROAD_EARTH` | 土行的土石显化、五行关系与地载重力 | 不修改真实空间尺度；不直接改 CT；不以重力生成身体器官或飞行资格 |
| 五行 | 金道路 | `ROAD_METAL` | 金行的金属显化、五行关系与磁极从革 | 不作用非金属主材质；不复制对象技能与灵性；不永久转移所有权 |
| 五行 | 水道路 | `ROAD_WATER` | 水行的水象显化、五行关系与潮汐易地 | 不运行全图流体；不传送对象；不改已结算结果；不修改几何高度 |
| 六识 | 见识道路 | `ROAD_SIGHT` | 观察者能看见、指认和辨识什么 | 不制造真实光照；不穿透封闭实体；不改变对象真实身份 |
| 六识 | 闻识道路 | `ROAD_HEARING` | 声音、行动声讯、传令通道与物质共振 | 不改 CT；不强制独立有情服从；不隔空作用无传声媒介对象 |
| 六识 | 息识道路 | `ROAD_BREATH` | 非独立有情灵性对象的控制、灵气流通与灵性启寂 | 不夺舍独立有情；不改变五行生克；不凭空创造完整灵魂 |
| 六识 | 食识道路 | `ROAD_INGEST` | 进入生命体的效果如何吸收、解释和定量转化 | 不处理体外结果；不直接修复结构；放大吸收必须支付代谢预算 |
| 六识 | 身识道路 | `ROAD_BODY` | 单锚点身体体型、形体配置、移动器官与修炼结构接口 | 不变成动态多格模板；不无器官获能力；不建垂直占位层；不改灵根品级；不永久毁号 |
| 六识 | 意识道路 | `ROAD_ACTION` | 当前行动的操作类别、目标集合与已形成行动意图 | 不替角色随机决策；不授予不存在技能；不免除资源和物理前置 |
| 阴阳 | 阴道路 | `ROAD_YIN` | 太阴、极阴之气主导的潜伏、寒封与有益状态压抑 | 不改历史；不把寒封写成时间停止；不清除永久构筑层 |
| 阴阳 | 阳道路 | `ROAD_YANG` | 太阳、极阳之气主导的贯照、亢奋与有害状态祛除 | 不替火无中生能；不替见识改视觉认知；不清除永久构筑层 |
| 宇宙 | 宇道路 | `ROAD_SPACE` | 固定六角拓扑上的加权距离、空间通行与空间封锁 | 不动态增删邻接；不创造土地；不无落点传送；不自动取得主权 |
| 宇宙 | 宙道路 | `ROAD_TIME` | CT、过程持续与角色局部状态快照 | 不倒放全场；不回滚 CT；不撤销外部结果或成本；不改受保护历史 |
| 因果 | 因道路 | `ROAD_CAUSE` | 效果由什么触发、因链由谁承接、发动支付什么 | 不凭空创造效果；不决定最终结果；不形成闭环触发 |
| 因果 | 果道路 | `ROAD_RESULT` | 尚未完成结算的结果内容、承受者和写入时点 | 不免除因债；不改受保护历史；不直接改境界、位格或人格 |

## 三、五行十五项效果

| effect_id | 功能性临时代号 | 源版 | 化版 | 界版 | 实际战棋玩法包装 | 山河落点 |
|---|---|---|---|---|---|---|
| WOOD_MANIFEST | 木-植木显化 | 把灵力转为一株强力植物、藤蔓或木质构件，手动选择缠束、低位掩体、实体木障、桥接或刺击中的一种固定形态；生成物只存在于本场战斗。 | 局部按固定条件生成一种预设木植，如敌人踏入地格后长出缠藤，不能临场改成其他形态。 | 范围内缓慢形成浅根、草木和弱木质地形，只提供固定环境规则，不能全场瞬生巨木。 | 玩家点选地格和形态，植物从格面长出并形成可攻击的根节点；低矮灌木提供低位掩体，巨木或密藤形成实体障碍，敌人可烧毁、斩断或占领节点。 | 林地、道路、桥梁、农产和木质设施。 |
| WOOD_FIELD | 木-木行灵域 | 对一个元素效果或对象选择一条合法木行关系：承水生木、以木生火、以木克土，或强化／削弱木行；每次只执行一条。 | 局部筛选一种元素对象，固定执行一条木行关系，如水系效果进入阵域后转为木行养分。 | 范围内维持一条弱木行规则，如友方木行略强或敌方土行受到持续压制。 | 棋盘显示水、木、火、土之间的单向生克线和预计转化；切断阵眼即可终止灵域。 | 地脉调养、林火控制、土壤治理和五行阵法。 |
| WOOD_EVOLUTION | 木-生发演化 | 手动选择一个已有普通植物、植物召唤物或兼容木植构件：可按其 `evolutionProfileId` 把普通植物活化为临时植物召唤物、把活化体推进到下一阶段，或为通用成熟体选择攻击枝、护持枝、扎根枝中的一项；不赋予完整灵魂或任意技能。 | 局部筛选一种植物、触发条件和成长操作，固定执行活化、进化或特化中的一条预设路线；自动活化仍检查召唤容量。 | 范围内同类植物逐周期积累成长，达到门槛后统一获得一种弱预设演化；界版不能把普通植物批量变成拥有独立 CT 的机动召唤军团。 | 目标面板显示成长档案、当前阶段、容量占用和合法分支；通用植物使用三阶段与三特化，特殊植物读取独立档案，但全部共用控制、失联和销毁规则。 | 育种、林网演替、作物催熟、活体防线和特殊灵植培育。 |
| FIRE_MANIFEST | 火-火热显化 | 把灵力转为真实火焰和热压，手动选择火球、火线、爆燃或燃烧地格中的一种；必须结算燃料、热量和延烧对象。 | 局部按固定触发生成一种预设火象，如敌人进入阵域时脚下爆燃。 | 范围内形成弱高温和可燃地格规则，不能让所有对象无条件持续受完整火球伤害。 | 玩家选择落点与火象，火焰留下可蔓延、可扑灭的燃烧格；水、隔绝和拆除燃料都能改变火势。 | 冶炼、供热、焚荒、军阵火攻和灾害治理。 |
| FIRE_FIELD | 火-火行灵域 | 对一个元素效果或对象选择承木生火、以火生土、以火克金，或强化／削弱火行中的一条操作。 | 局部筛选一种元素对象，固定执行一条火行关系。 | 范围内维持一条弱火行规则，如友方火行略强或敌方金行逐渐软化。 | 元素预览显示木燃、土成、金熔的单向关系，阵眼过热会成为可攻击支点。 | 炉火、矿冶、烧制、地脉升温和五行军阵。 |
| FIRE_ESCALATE | 火-升烈蔓延 | 从通用火种、自身当前合法 `fireSeedProfileId` 列表或棋盘既有火源中选择一个起点，再选择聚焰或走火：聚焰把同档基础预算集中为完整单体焚灼，走火沿连续合法载体逐节点消耗预算传播；借用已有火源可追加一种强度、节点或省灵收益。 | 局部预装一个火种档案、起点条件和聚焰／走火操作，在合法自身火种或战场火源满足条件时固定执行；化版不获得通用火种兜底。 | 展开时选定一个火种档案和一条弱广域升烈或走火规则，不能逐对象改用不同特殊火种；界版没有合法火种来源时不触发。 | 源版先显示通用火种、自有特殊火种与战场火源三类入口，再预览聚焰单体预算或走火连续节点；特殊火种只继承一项签名效果，已有火源的持续、充能和熄灭结果同步扣除。 | 炉火点燃、集中供热、特殊火种运用、可控延烧和灾害治理。 |
| EARTH_MANIFEST | 土-土石显化 | 把灵力转为岩墙、石柱、地刺、落岩或土坡中的一种强力固定土石形态；生成物只存在于本场战斗。 | 局部按固定条件生成一种预设土石构件，如受击地格升起石垒。 | 范围内缓慢形成弱高低差、碎石或浅垒，不改变地图的战后状态。 | 玩家点选六角边或地格落下土石构件；碎石与浅垒提供低位掩体，岩墙和石柱形成实体障碍，构件可被击碎。 | 城防、道路、矿业、堤坝和基础工程。 |
| EARTH_FIELD | 土-土行灵域 | 对一个元素效果或对象选择承火生土、以土生金、以土克水，或强化／削弱土行中的一条操作。 | 局部筛选一种元素对象，固定执行一条土行关系。 | 范围内维持一条弱土行规则，如友方土行更稳或敌方水行被持续导散。 | 棋盘显示火化灰土、土生矿性、土制水势的作用线；地脉节点是灵域支点。 | 土壤、矿脉、水利、窑业和五行地脉。 |
| EARTH_GRAVITY | 土-地载重力 | 手动令一个目标或小片相连地格进入极重、失重或镇岳。极重上调受力档、积累重压并压低飞行；失重下调受力档、放大普通位移并允许有限轻跃跨越攀爬边、单向落差和开放断崖；镇岳以锚定档固定目标，可镇压敌人或把友军变成阵地支点。 | 放置重力节点并预设一种模式、对象条件与触发事件；进入、移动或受到强制位移时按固定档位结算，不能临场切换。 | 范围内只能维持一条公开的弱失重或弱极重规则，例如连续移动逐格积累重压或统一改变普通位移；界版不能批量镇岳。 | 棋盘显示受力档、重压条、锚定档、可轻跃格边和压落后的高度；移动预览先处理空间封锁，再处理重力、锚定、格边与落点。 | 重物搬运、矿井升降、轻身越岭、建筑承载、飞行禁区和山门镇封。 |
