# Spells config (2026-06-14)
name,type,minRange,maxRange,mpCost,cooldownTicks,healAmount,cannotBlock,cannotDodge,penetratingShield,stunChance,realmReq,elementReq,element,affiliation,contentScope,physicalDamageMultiplier,soulDamageMultiplier
spell_xuanshuizhou,1,1,4,12,8,0,0,0,0,0,realm_lianqi,element_water_root,element_water_root,faction_taiyidaoting,player,0,1.2
spell_canglangji,1,1,4,25,20,0,0,0,0,0,realm_zhuji,element_water_root,element_water_root,faction_taiyidaoting,player,0,1.6
spell_anshenfu,4,0,3,8,6,0,0,0,0,15,realm_lianqi,element_water_or_wind,element_none,faction_taiyidaoting,player,0,0.2
spell_jinguangpoyue,0,1,1,15,30,0,0,0,0,0,realm_zhuji,element_metal_root,element_metal_root,faction_taiyidaoting,player,1.6,0
spell_liuhuolingfu,1,1,3,18,15,0,0,0,0,0,realm_lianqi,element_fire_root,element_fire_root,faction_taiyidaoting,player,0,1.3

# === Yuqingya (13) ===
spell_yinleijue,0,1,3,11,8,0,0,0,0,0,realm_lianqi,element_thunder_root,element_thunder_root,faction_yuqingya,player,0.8,0
spell_kuxingjianshi,0,0,1,10,8,0,0,0,0,0,realm_lianqi,element_metal_root,element_metal_root,faction_yuqingya,player,1.4,0
spell_jianganghuti,2,0,0,18,12,0,0,0,0,0,realm_zhuji,element_metal_root,element_metal_root,faction_yuqingya,player,0,0.2
spell_tianleiyin,2,1,5,20,14,0,0,0,0,0,realm_zhuji,element_thunder_root,element_thunder_root,faction_yuqingya,player,0,1.2
spell_leidunbu,5,0,0,14,12,0,0,0,0,0,realm_zhuji,element_thunder_root,element_thunder_root,faction_yuqingya,player,0,0.3
spell_jiuxiaotaiyizhan,2,0,2,35,22,0,0,0,0,0,realm_jindan,element_thunder_root,element_thunder_root,faction_yuqingya,player,0,1.8
spell_wuleihongding,2,2,5,40,24,0,0,0,0,0,realm_jindan,element_thunder_root,element_thunder_root,faction_yuqingya,player,0,1.5
spell_leicnicuiti_spell,1,0,0,30,20,0,0,0,0,0,realm_jindan,element_thunder_root,element_thunder_root,faction_yuqingya,player,0,0.2
spell_wanjianchaozong,0,1,5,65,35,0,0,0,0,0,realm_yuanying,element_metal_root,element_metal_root,faction_yuqingya,reserved,2.5,0
spell_tianjieyin,2,1,6,75,40,0,0,0,0,0,realm_yuanying,element_thunder_root,element_thunder_root,faction_yuqingya,reserved,0,2.0
spell_renjianheyi,0,0,3,70,40,0,0,0,0,0,realm_huashen,element_metal_root,element_metal_root,faction_yuqingya,reserved,3.0,0
spell_jiuxiaoleifa,2,2,7,85,45,0,0,0,0,0,realm_huashen,element_thunder_root,element_thunder_root,faction_yuqingya,reserved,0,2.5

# === Hunyuanshan (14) ===
spell_tiegugong,0,0,0,8,6,0,0,0,0,0,realm_lianqi,element_earth_root,element_earth_root,faction_hunyuanshan,player,0.2,0
spell_pozhenchongfeng,0,0,0,12,10,0,0,0,0,0,realm_lianqi,element_metal_root,element_metal_root,faction_hunyuanshan,player,1.3,0
spell_menshice,1,0,6,20,5,0,0,0,0,0,realm_zhuji,element_earth_root,element_earth_root,faction_hunyuanshan,player,0,0.2
spell_xuanjiatiebi,1,1,1,30,15,0,0,0,0,0,realm_zhuji,element_earth_root,element_earth_root,faction_hunyuanshan,player,0,0.2
spell_mingjinhaoling,1,0,0,16,12,0,0,0,0,0,realm_zhuji,element_earth_root,element_earth_root,faction_hunyuanshan,player,0,0.2
spell_hengshaoqianjun,0,0,1,30,18,0,0,0,0,0,realm_jindan,element_metal_root,element_metal_root,faction_hunyuanshan,player,1.8,0
spell_shuwurushan,1,1,1,35,20,0,0,0,0,0,realm_jindan,element_earth_root,element_earth_root,faction_hunyuanshan,player,0,0.2
spell_tiesuolianzhou,1,0,3,25,16,0,0,0,0,0,realm_jindan,element_earth_root,element_earth_root,faction_hunyuanshan,player,0,0.2
spell_jindaoduanyan,2,1,4,35,25,0,0,0,0,0,realm_jindan,element_metal_root,element_metal_root,faction_hunyuanshan,player,0,1.6
spell_toubianduanliu,0,0,0,40,30,0,0,0,0,0,realm_yuanying,element_earth_root,element_earth_root,faction_hunyuanshan,reserved,1.2,0
